p1,p2,alphaD_true,alphaD_main_pred,rel_abs
1.356999993324279785e+00,2.250000000000000000e+00,1.724819705079600141e+01,1.725434112548828125e+01,3.562154742426423934e-04
1.485999941825866699e+00,2.250000000000000000e+00,1.759007698748099813e+01,1.758822059631347656e+01,1.055362730272740618e-04
1.613999962806701660e+00,2.250000000000000000e+00,1.792615992808799774e+01,1.792935371398925781e+01,1.781634167089973136e-04
1.743000030517578125e+00,2.250000000000000000e+00,1.827126007108999772e+01,1.828162193298339844e+01,5.671126048824591580e-04
1.871000051498413086e+00,2.250000000000000000e+00,1.861047042422200093e+01,1.863815116882324219e+01,1.487374793342894925e-03
2.000000000000000000e+00,2.250000000000000000e+00,1.894666723482500004e+01,1.900457382202148438e+01,3.056294095356723150e-03
2.000000029802322388e-01,2.500000000000000000e+00,1.527293124245899847e+01,1.528664016723632812e+01,8.975961824026694284e-04
3.289999961853027344e-01,2.500000000000000000e+00,1.512847034235500132e+01,1.519651603698730469e+01,4.497856894480377517e-03
4.569999873638153076e-01,2.500000000000000000e+00,1.508594747390599977e+01,1.509126091003417969e+01,3.522109656931066883e-04
5.860000252723693848e-01,2.500000000000000000e+00,1.514903830840400190e+01,1.515288543701171875e+01,2.539520020609256461e-04
7.139999866485595703e-01,2.500000000000000000e+00,1.529004314065200099e+01,1.528612804412841797e+01,2.560552960883319537e-04
8.429999947547912598e-01,2.500000000000000000e+00,1.548055019039200175e+01,1.546910381317138672e+01,7.394037731113216197e-04
9.710000157356262207e-01,2.500000000000000000e+00,1.572079925934099975e+01,1.572009468078613281e+01,4.481824004261706008e-05
1.100000023841857910e+00,2.500000000000000000e+00,1.599859053700599887e+01,1.599008464813232422e+01,5.316648897288707085e-04
1.228999972343444824e+00,2.500000000000000000e+00,1.630294601109299890e+01,1.630485725402832031e+01,1.172329794885504671e-04
1.356999993324279785e+00,2.500000000000000000e+00,1.662954853051800086e+01,1.662720298767089844e+01,1.410466942501751480e-04
