model,n,retain,region,idx,V0_is,g0,time_s,time_ms,max_relative_observable_error,spectrum_relative_l2_error,spectrum_pointwise_max_relative_error,half_life_relative_error
EM1,8,0.9,test/extrapolation region,106,0.143,0.5,0.0010290829995938111,1.029082999593811,0.07158810747187508,0.07158810747187508,0.06594715973820066,0.004496463044694136
EM1,8,0.9,fit region,107,0.286,0.5,0.0008572919996368,0.8572919996368,0.07251811838846936,0.07251811838846936,0.07497113544618243,0.0003676315174813972
EM1,8,0.9,fit region,108,0.429,0.5,0.000879082999745151,0.879082999745151,0.07446202201845264,0.07446202201845264,0.08305390447759056,0.002948494134051322
EM1,8,0.9,fit region,109,0.571,0.5,0.000862917000631569,0.862917000631569,0.07686104267044624,0.07686104267044624,0.0904045801651617,0.0030472245276730015
EM1,8,0.9,fit region,110,0.714,0.5,0.000856624999869382,0.856624999869382,0.0794161571005843,0.0794161571005843,0.09757665264818609,0.001166247297338294
EM1,8,0.9,fit region,111,0.857,0.5,0.0008624999991297955,0.8624999991297955,0.08178813808288429,0.08178813808288429,0.10532441789593175,0.0014113358850861445
EM1,8,0.9,fit region,112,1.0,0.5,0.0008797089994914131,0.8797089994914131,0.08266370734224672,0.08266370734224672,0.10013911071929509,0.0029098287970753924
EM1,8,0.9,fit region,113,1.143,0.5,0.0008582919999753358,0.8582919999753358,0.07515779898699952,0.07515779898699952,0.06397734197608178,0.0019027131168760038
EM1,8,0.9,fit region,114,1.286,0.5,0.0008482499997626292,0.8482499997626292,0.06605155691773273,0.06605155691773273,0.05745025493675059,0.0015698970143645052
EM1,8,0.9,fit region,115,1.429,0.5,0.0008743750004214235,0.8743750004214235,0.06758199867209862,0.06758199867209862,0.05349852921556242,0.00521169580007111
EM1,8,0.9,fit region,116,1.571,0.5,0.0008543339990865206,0.8543339990865206,0.06356763495165846,0.06356763495165846,0.04638771569542319,0.004369545348064976
EM1,8,0.9,fit region,117,1.714,0.5,0.0008302909991471097,0.8302909991471097,0.042881322214392954,0.042881322214392954,0.03370645084283255,0.00772816083942349
EM1,8,0.9,test/extrapolation region,118,1.857,0.5,0.0008389159993384965,0.8389159993384965,0.056016382743589395,0.056016382743589395,0.04326286156742407,0.04003090740503178
